Goal,Exercise list
WeightLoss,Running (6 mph or 10 km/h) for 45 minutes,HIIT for 20-30 minutes,Rowing for 30 minutes
StrengthBuilding,Heavy Weightlifting (Compound Movements) for 45 minutes,Bodyweight Strength Training (Push-ups; Pull-ups; Dips) for 30 minutes,Push/Pull Strength Routine for 45 minutes
